1400 2.94522254e-03 1.92277943e-03
3.81179361e-02 3.63092161e+01 1.34338020e-03 3.32142037e+01
3.85596384e-02 3.63091692e+01 1.36852265e-03 3.30504232e+01
3.90064589e-02 3.63091215e+01 1.39414443e-03 3.28873002e+01
3.94584572e-02 3.63090729e+01 1.42024592e-03 3.27245610e+01
3.99156930e-02 3.63090233e+01 1.44681864e-03 3.25622273e+01
4.03782273e-02 3.63089728e+01 1.47383740e-03 3.24005186e+01
4.08461212e-02 3.63089214e+01 1.50140486e-03 3.22393787e+01
4.13194371e-02 3.63088690e+01 1.52945402e-03 3.20786303e+01
4.17982376e-02 3.63088157e+01 1.55800359e-03 3.19183202e+01
4.22825863e-02 3.63087613e+01 1.58710303e-03 3.17585954e+01
4.27725476e-02 3.63087060e+01 1.61666013e-03 3.15994468e+01
4.32681864e-02 3.63086496e+01 1.64682192e-03 3.14407570e+01
4.37695686e-02 3.63085921e+01 1.67752351e-03 3.12824871e+01
4.42767607e-02 3.63085336e+01 1.70873956e-03 3.11247063e+01
4.47898300e-02 3.63084740e+01 1.74056053e-03 3.09674803e+01
4.53088446e-02 3.63084133e+01 1.77293364e-03 3.08108006e+01
4.58338735e-02 3.63083514e+01 1.80590925e-03 3.06546150e+01
4.63649863e-02 3.63082884e+01 1.83946824e-03 3.04988887e+01
4.69022535e-02 3.63082242e+01 1.87365622e-03 3.03436266e+01
4.74457465e-02 3.63081589e+01 1.90844747e-03 3.01888544e+01
4.79955373e-02 3.63080923e+01 1.94385767e-03 3.00345944e+01
4.85516990e-02 3.63080245e+01 1.97994385e-03 2.98808532e+01
4.91143053e-02 3.63079554e+01 2.01663762e-03 2.97276248e+01
4.96834310e-02 3.63078851e+01 2.05402914e-03 2.95748988e+01
5.02591517e-02 3.63078135e+01 2.09208444e-03 2.94226662e+01
5.08415436e-02 3.63077405e+01 2.13083326e-03 2.92709221e+01
5.14306842e-02 3.63076661e+01 2.17025370e-03 2.91196653e+01
5.20266516e-02 3.63075904e+01 2.21039880e-03 2.89688982e+01
5.26295249e-02 3.63075133e+01 2.25127725e-03 2.88186226e+01
5.32393842e-02 3.63074348e+01 2.29287190e-03 2.86688389e+01
5.38563104e-02 3.63073548e+01 2.33521196e-03 2.85195481e+01
5.44803854e-02 3.63072734e+01 2.37833361e-03 2.83707507e+01
5.51116921e-02 3.63071904e+01 2.42223408e-03 2.82224451e+01
5.57503142e-02 3.63071059e+01 2.46690702e-03 2.80746297e+01
5.63963365e-02 3.63070199e+01 2.51238072e-03 2.79273038e+01
5.70498448e-02 3.63069322e+01 2.55866865e-03 2.77804664e+01
5.77109258e-02 3.63068430e+01 2.60579202e-03 2.76341113e+01
5.83796673e-02 3.63067521e+01 2.65375365e-03 2.74882433e+01
5.90561580e-02 3.63066595e+01 2.70257251e-03 2.73428627e+01
5.97404877e-02 3.63065653e+01 2.75226434e-03 2.71979753e+01
6.04327472e-02 3.63064693e+01 2.80285863e-03 2.70535873e+01
6.11330285e-02 3.63063715e+01 2.85434202e-03 2.69097024e+01
6.18414246e-02 3.63062720e+01 2.90675555e-03 2.67663150e+01
6.25580293e-02 3.63061706e+01 2.96009153e-03 2.66234071e+01
6.32829379e-02 3.63060673e+01 3.01438958e-03 2.64809616e+01
6.40162466e-02 3.63059622e+01 3.06965563e-03 2.63389814e+01
6.47580528e-02 3.63058551e+01 3.12589999e-03 2.61974961e+01
6.55084548e-02 3.63057461e+01 3.18314247e-03 2.60565295e+01
6.62675523e-02 3.63056351e+01 3.24140952e-03 2.59160604e+01
6.70354460e-02 3.63055220e+01 3.30071278e-03 2.57760379e+01
6.78122379e-02 3.63054069e+01 3.36105548e-03 2.56364699e+01
6.85980312e-02 3.63052897e+01 3.42249476e-03 2.54974231e+01
6.93929300e-02 3.63051703e+01 3.48501383e-03 2.53588897e+01
7.01970399e-02 3.63050487e+01 3.54862749e-03 2.52207881e+01
7.10104677e-02 3.63049250e+01 3.61338598e-03 2.50831559e+01
7.18333213e-02 3.63047989e+01 3.67928067e-03 2.49460627e+01
7.26657100e-02 3.63046706e+01 3.74635347e-03 2.48094121e+01
7.35077442e-02 3.63045400e+01 3.81460627e-03 2.46732156e+01
7.43595356e-02 3.63044069e+01 3.88406193e-03 2.45375654e+01
7.52211975e-02 3.63042714e+01 3.95474586e-03 2.44023390e+01
7.60928441e-02 3.63041335e+01 4.02668086e-03 2.42676064e+01
7.69745912e-02 3.63039931e+01 4.09989563e-03 2.41333760e+01
7.78665557e-02 3.63038501e+01 4.17439089e-03 2.39995680e+01
7.87688562e-02 3.63037045e+01 4.25019437e-03 2.38663023e+01
7.96816123e-02 3.63035563e+01 4.32734744e-03 2.37334451e+01
8.06049452e-02 3.63034054e+01 4.40584205e-03 2.36011305e+01
8.15389775e-02 3.63032517e+01 4.48572960e-03 2.34692239e+01
8.24838331e-02 3.63030953e+01 4.56702162e-03 2.33378543e+01
